Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link,Database
Deep Knowledge Tracing And Cognitive Load Estimation For Personalized Learning Path Generation Using Neural Network Architecture,"Tong, Chunyan1; Ren, Changhong21 Academic Affairs office, Chongqing College of International Business and Economics, Hechuan, Chongqing, 401520, China2 Information Technology Center, Chongqing College of International Business and Economics, Hechuan, Chongqing, 401520, China ren_ch@163.com","This paper presents a novel approach for personalized learning path generation by integrating deep knowledge tracing and cognitive load estimation within a unified framework. We propose a dual-stream neural network architecture that simultaneously models students' knowledge states and cognitive load levels to optimize learning trajectories. The knowledge state tracking module employs a bidirectional Transformer with graph attention mechanisms to capture complex relationships between knowledge components, while the cognitive load estimation module utilizes multimodal data analysis to dynamically assess mental effort during learning activities. A dual-objective optimization algorithm balances knowledge acquisition with cognitive load management to generate paths that maintain optimal challenge levels. Experimental evaluations across multiple educational domains demonstrate that our approach outperforms existing methods in prediction accuracy (87.5%), path quality (4.4/5), and learning efficiency (24.6% improvement). The implemented system supports real-time adaptation based on performance and cognitive state, resulting in reduced frustration, higher engagement, and improved knowledge retention. This research contributes to both theoretical understanding of learning processes and practical implementation of next-generation adaptive educational technologies.This paper presents a novel approach for personalized learning path generation by integrating deep knowledge tracing and cognitive load estimation within a unified framework. We propose a dual-stream neural network architecture that simultaneously models students' knowledge states and cognitive load levels to optimize learning trajectories. The knowledge state tracking module employs a bidirectional Transformer with graph attention mechanisms to capture complex relationships between knowledge components, while the cognitive load estimation module utilizes multimodal data analysis to dynamically assess mental effort during learning activities. A dual-objective optimization algorithm balances knowledge acquisition with cognitive load management to generate paths that maintain optimal challenge levels. Experimental evaluations across multiple educational domains demonstrate that our approach outperforms existing methods in prediction accuracy (87.5%), path quality (4.4/5), and learning efficiency (24.6% improvement). The implemented system supports real-time adaptation based on performance and cognitive state, resulting in reduced frustration, higher engagement, and improved knowledge retention. This research contributes to both theoretical understanding of learning processes and practical implementation of next-generation adaptive educational technologies.",Empty,Scientific reports,ENGLAND,2025,Scholarly Journal,English,https://doi.org/10.1038/s41598-025-10497-x,"ProQuest One App lied & Life Sciences,SciTech Premium Collection,ProQuest One Health & Nursing"
"Differences In Assets, Strategies, And Livelihood Outcomes Among Oil Palm Smallholder Typologies In West Sulawesi, Indonesia","Khaeruddin, Anas1; Hamka, Naping2    ; Darmawan, Salman3    ; Tenriawaru Andi Nixia3    1 Development Studies, Graduate School, Hasanuddin University, Makassar 90245, Indonesia2 Department of Anthropology, Faculty of Social and Political Sciences, Hasanuddin University, Makassar 90245, Indonesia3 Department of Socio-Economics, Faculty of Agriculture, Hasanuddin University, Makassar 90245, Indonesia","Oil palm cultivation plays a critical role in rural livelihoods in Indonesia, yet previous research has often overlooked systematic institutional differences among smallholders. This study aims to analyze disparities in assets, strategies, and livelihood outcomes among three oil palm smallholder typologies—ex-Perkebunan Inti Rakyat (PIR) transmigrant smallholders who received land through government transmigration programs, independent smallholders who cultivate oil palm without formal partnerships, and plasma smallholders operating under corporate partnership schemes—in Central Mamuju Regency, West Sulawesi. A descriptive quantitative approach based on the sustainable livelihoods framework was employed, using chi-square analysis of data collected from 90 respondents through structured interviews and field observations. The results show that ex-PIR smallholders possess higher physical, financial, and social capital and achieve better income and welfare outcomes compared to independent and plasma smallholders. Independent smallholders exhibit resilience through diversified livelihood strategies, whereas plasma smallholders face asset limitations and structural dependency on partner companies, increasing their economic vulnerability. The study concludes that differentiated policy approaches are necessary to enhance the resilience of each group, including improving capital access, promoting income diversification, and strengthening institutions for plasma smallholders. Future research should expand geographical scope and explore factors such as technology adoption, gender dynamics, and intergenerational knowledge transfer to deepen understanding of sustainable smallholder livelihoods in tropical plantation contexts.",oil palm; smallholder typology; livelihood system; Perkebunan Inti Rakyat; sustainable livelihoods,Sustainability; Basel,Switzerland,2025,Scholarly Journal,English,https://doi.org/10.3390/su17136064,"Publicly Available Content Database,Coronavirus Research Database"
Ai Powered Integrated Code Repository Analyzer For Efficient Developer Workflow,"Akalanka, Isuru1; De Silva, Sandeepa1; Ganeshalingam, Mayuran1; Abeykoon, Akash1; Wijendra, Dinuka1; Krishara, Jenny11 Sri Lanka Institute of Information Technology,Faculty of Computing,Malabe,Sri Lanka","Conference Title: 2025 International Research Conference on Smart Computing and Systems Engineering (SCSE) Conference Start Date: 2025 April 3 Conference End Date: 2025 April 3 Conference Location: Colombo, Sri Lanka Transitioning between new and legacy codebases in diverse project environments poses significant challenges for developers, especially with traditional Knowledge Transfer (KT) methods, which are often resource intensive and prone to obsolescence. These limitations hinder the Software Development Life Cycle (SDLC), particularly in fast-paced industrial settings. This research introduces an AI-driven automation solution that leverages large language models (LLMs) and advanced artificial intelligence technologies to address critical gaps in technical knowledge transfer, with a focus on modern software frameworks. The proposed system reduces development costs, improves team performance, and accelerates adaptation to complex codebases. Key features include a documentation generation tool that cuts manual effort by up to 90%, with an average generation time of 6.8 minutes. Additionally, a virtual knowledge transfer assistant enhances onboarding efficiency, potentially reducing senior developer involvement by 50-60%. The system also includes an automated diagram generator that achieves 97% validation accuracy and a code smell detection tool with 71% accuracy, resulting in better code quality assessments. These findings demonstrate the effectiveness of AI-driven automation in improving developer productivity, streamlining onboarding processes, and optimizing software development workflows.",Productivity; Visualization; Codes; Automation; Accuracy; Large language models; Documentation; Generators; Knowledge transfer; Software development management; AI automation; code summarization; large language model; SDLC; software development,"The Institute of Electrical and Electronics Engineers, Inc. (IEEE) Conference Proceedings; Piscataway",United States,2025,Conference Paper,English,https://doi.org/10.1109/SCSE65633.2025.11031000,"ProQuest One Sustainability,ProQuest One Applied & Life Sc iences,SciTech Premium Collection"
Ai-Powered Transcript Summarization And Question Answering For Youtube And Wikipedia,"Sharma, Kanishka1; Srivastava, Sarthak1; Pilania, Harsh1; Maurya, Pranjal Kumar1; Ayushi Prakash21 AKGEC Engineering College,CSE Department,Ghaziabad,India2 AKGEC Engineering College,Computer Science and Engineering,Ghaziabad,India","Conference Title: 2025 2nd International Conference on Computational Intelligence, Communication Technology and Networking (CICTN) Conference Start Date: 2025, Feb. 6 Conference End Date: 2025, Feb. 7 Conference Location: Ghaziabad, India With the rapid growth of online content, there is an increasing demand for efficient tools that facilitate content understanding and knowledge retention. This research focuses on the development of an AI-powered system designed to automate summarization, question answering, and quiz generation from YouTube transcripts and Wikipedia articles. The system employs advanced natural language processing (NLP) techniques to process and distill complex information into clear and concise summaries. The process begins with the extraction of text through the YouTube Transcript API or web scraping. The Pegasus-XSum model is then used for summarizing the content, ensuring that key information is retained while minimizing text length. For question answering, the Llama model is employed to generate contextually relevant answers based on the provided content. Additionally, the system generates quizzes by extracting entities from the text to enhance interactive learning. This technology aims to improve content comprehension, making it especially valuable for educational settings and knowledge management. By integrating summarization, question answering, and quiz generation into a single platform, the system supports efficient learning and better retention of critical information. This research demonstrates the potential of NLP in addressing the challenges of information overload and facilitating effective knowledge acquisition.",Empty,"The Institute of Electrical and Electronics Engineers, Inc. (IEEE) Conference Proceedings; Piscataway",United States,2025,Conference Paper,English,https://doi.org/10.1109/CICTN64563.2025.10932550,"ProQuest One Sustainability,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
Advancing Paraphrase Generation Through Deep Reinforcement Learning,"Lall, Kunal1; Lall, Anant21 University of Illinois,Chicago,USA2 University of Michigan,Ann Arbor,USA","Conference Title: 2025 International Conference on Computational, Communication and Information Technology (ICCCIT) Conference Start Date: 2025, Feb. 7 Conference End Date: 2025, Feb. 8 Conference Location: Indore, India This study addresses the challenge of generating high-quality paraphrases, a complex task in Natural Language Processing (NLP) that encompasses various essential subproblems. While neural networks have driven advancements, this study investigates the use of Deep Reinforcement Learning (DRL) to enhance paraphrase quality. Initially, a comparison of state-of-the-art supervised text generation approaches is conducted, revealing their limitations. Subsequently, strategies for knowledge transfer between supervised models and RL models are assessed using two intermediary environments. The impact of RL fine-tuning with different reward functions is then analyzed, highlighting the difficulties in designing effective reward functions for paraphrase generation. Findings suggest that employing an adversarial model as a reward function yields the best results. Additionally, the study proposes a general framework for transferring knowledge from supervised models to RL models, facilitating training efficiency. This work not only advances paraphrase generation but also offers a robust pipeline for applying RL in NLP applications.",Empty,"The Institute of Electrical and Electronics Engineers, Inc. (IEEE) Conference Proceedings; Piscataway",United States,2025,Conference Paper,English,https://doi.org/10.1109/ICCCIT62592.2025.10927955,"ProQuest One Sustainability,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
Llm-Based Generation Of Solidity Smart Contracts From System Requirements In Natural Language: The Astrakode Case,"De Vito, Gabriele1; D'Amici, Damiano2; Izzo, Fabiano2; Ferrucci, Filomena1; Dario Di Nucci11 Software Engineering (SeSa) Lab - University of Salerno,Salerno,Italy2 AstraKode S.r.l.,Pescara,Italy","Conference Title: 2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER) Conference Start Date: 2025 March 4 Conference End Date: 2025 March 7 Conference Location: Montreal, QC, Canada As blockchain technology continues to evolve, the need for accessible solutions for developing smart contracts has grown, especially for non-technical users. This paper addresses practitioners' challenges in generating Solidity smart contracts from natural language requirements within the AstraKode Blockchain no-code platform (AKB). Our goal is to lower the barrier of entry into smart contract development, making it more accessible to users with limited technical expertise. We propose three methods, i.e., Naive Generation, Augmented Generation, and Enhanced Generation, each utilizing large language models to streamline the code generation process. These methods cater to different user needs, from rapid prototyping to handling complex business scenarios, improving accessibility and usability within AKB. We demonstrate their practical relevance, potential, and limitations in addressing real-world challenges in smart contract development through empirical evaluations and practitioner feedback. Thanks to collaboration with academia and effective knowledge transfer, these methods provide innovative solutions to the challenges of smart contract generation. Furthermore, they have been integrated into AKB to enhance user services, ultimately promoting the development and deployment of secure and efficient smart contracts in the industry.",Industries; Codes; Large language models; Smart contracts; Natural languages; Rapid prototyping; Software; Blockchains; Usability; Knowledge transfer; Smart Contracts; No-Code Platform; Code Generation; Large Language Model,"The Institute of Electrical and Electronics Engineers, Inc. (IEEE) Conference Proceedings; Piscataway",United States,2025,Conference Paper,English,https://doi.org/10.1109/SANER64311.2025.00024,"ProQuest One Sustainability,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
Transformative Pedagogies: Educational Innovations In Cybersecurity,"Zenzo Polite Ncube1; Mpofu, Nontokozo2; Nxumalo, Madoda A11 University of Eswatini,Department of Computer Science,Kwaluseni,Eswatini2 Sol Plaatje University,Department of Computer Science,Kimberley,South Africa","Conference Title: 2024 4th International Multidisciplinary Information Technology and Engineering Conference (IMITEC) Conference Start Date: 2024, Nov. 27 Conference End Date: 2024, Nov. 29 Conference Location: Vanderbijlpark, South Africa As the digital landscape undergoes continual transformation, the necessity for adept cybersecurity professionals has reached unprecedented levels. This paper investigates the convergence of education and cybersecurity. It offers a thorough analysis of avant-garde pedagogical approaches geared towards equipping the forthcoming generation of cyber defenders. Our study delves into cutting-edge educational strategies that transcend conventional cybersecurity curricula. It embraces dynamic methodologies such as hands-on learning, immersive simulations, and collaborative problem-solving. Moreover, we explore the seamless integration of emerging technologies that include virtual labs, gamification, and interactive scenarios in order to foster the cultivation of practical skills. Furthermore, this study evaluates the tangible impacts of educational innovations on knowledge retention, skills development, and adaptability to the ever-evolving realm of cyber threats. Through the examination of case studies and empirical evidence gathered, we spotlight the successful implementations of these innovations across diverse educational landscapes, spanning from academic institutions to professional training programs. In addition to the above, our research dissects the pivotal roles played by mentorship, industry partnerships, and real-world applications in nurturing a holistic educational environment. By unravelling the symbiotic relationship between academia and industry, we ensure that educational advancements remain finely attuned to the dynamic demands of the cybersecurity landscape.",Empty,"The Institute of Electrical and Electronics Engineers, Inc. (IEEE) Conference Proceedings; Piscataway",United States,2024,Conference Paper,English,https://doi.org/10.1109/IMITEC60221.2024.10851040,"ProQuest One Sustainability,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
Insights Into How Mhealth Applications Could Be Introduced Into Standard Hypertension Care In Germany: Qualitative Study With German Cardiologists And General Practitioners,"May, Susann1    ; Seifert, Frances1    ; Bruch, Dunja2    ; Heinze, Martin3    ; Spethmann, Sebastian4    ; Muehlensiepen, Felix5    1 Center for Health Services Research, Brandenburg Medical School Theodor Fontane, Rüdersdorf, Germany; Department of Cardiovascular Surgery, Heart Center Brandenburg, Faculty of Health Sciences, Brandenburg Medical School Theodor Fontane, Bernau bei Berlin, Germany2 Department of Cardiovascular Surgery, Heart Center Brandenburg, Faculty of Health Sciences, Brandenburg Medical School Theodor Fontane, Bernau bei Berlin, Germany3 Department of Psychiatry and Psychotherapy, Immanuel Klinik Rüdersdorf, University Hospital of Brandenburg Medical School Theodor Fontane, Rüdersdorf, Germany4 Deutsches Herzzentrum der Charité - Department of Cardiology, Angiology and Intensive Care Medicine, Berlin, Germany; Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin and Humboldt-Universität zu Berlin, Berlin, Germany5 Center for Health Services Research, Brandenburg Medical School Theodor Font ane, Rüdersdorf, Germany; Department of Cardiovascular Surgery, Heart Center Brandenburg, Faculty of Health Sciences, Brandenburg Medical School Theodor Fontane, Bernau bei Berlin, Germany; AGEIS, Université Grenoble-Alpes, Grenoble, France","Mobile health (mHealth) apps provide innovative solutions for improving treatment adherence, facilitating lifestyle modifications, and optimizing blood pressure control in patients with hypertension. Despite their potential benefits, the adoption and recommendation of mHealth apps by physicians in Germany remain limited. This reluctance may be due to a lack of understanding of the factors influencing physicians' willingness to incorporate these digital tools into routine clinical practice. Understanding these factors is crucial for fostering greater integration of mHealth apps in hypertension care. BACKGROUND Mobile health (mHealth) apps provide innovative solutions for improving treatment adherence, facilitating lifestyle modifications, and optimizing blood pressure control in patients with hypertension. Despite their potential benefits, the adoption and recommendation of mHealth apps by physicians in Germany remain limited. This reluctance may be due to a lack of understanding of the factors influencing physicians' willingness to incorporate these digital tools into routine clinical practice. Understanding these factors is crucial for fostering greater integration of mHealth apps in hypertension care.The aim of this study was to explore the relationship between physicians' information needs and acceptance factors, and how these elements can support the effective integration of mHealth apps into daily medical routines. OBJECTIVE The aim of this study was to explore the relationship between physicians' information needs and acceptance factors, and how these elements can support the effective integration of mHealth apps into daily medical routines.We conducted a qualitative study involving 24 semistructured telephone interviews with physicians, including 14 cardiologists and 10 general practitioners, who are involved in the treatment of hypertensive patients. Participants were selected through purposive sampling to ensure a diverse range of perspectives. Thematic analysis was conducted using MAXQDA software (Verbi GmbH) to identify key themes and subthemes related to the acceptance and use of mHealth apps. METHODS We conducted a qualitative study involving 24 semistructured telephone interviews with physicians, including 14 cardiologists and 10 general practitioners, who are involved in the treatment of hypertensive patients. Participants were selected through purposive sampling to ensure a diverse range of perspectives. Thematic analysis was conducted using MAXQDA software (Verbi GmbH) to identify key themes and subthemes related to the acceptance and use of mHealth apps.The analysis revealed significant variability in physicians' information needs regarding mHealth apps, particularly concerning their functionalities, clinical benefits, and potential impact on patient outcomes. These informational gaps play a critical role in determining whether physicians are willing to recommend mHealth apps to their patients. Key determinants influencing acceptance were identified, including the availability of robust knowledge about the apps, high-quality and reliable data, generational shifts within the medical profession, solid evidence supporting the effectiveness of the mHealth apps, and clearly defined areas of application and responsibilities within the physician-patient relationship. The study found that acceptance of mHealth apps could be significantly increased through targeted educational initiatives, enhanced data quality, and better integration of these tools into existing clinical workflows. Furthermore, younger physicians, more familiar with digital technologies, demonstrated greater openness to using mHealth apps, suggesting that generational changes may drive future increases in adoption. RESULTS The analysis revealed significant variability in physicians' information needs regarding mHealth apps, particularly concerning their functionalities, clinical benefits, and potential impact on patient outcomes. These informational gaps play a critical role in determining whether physicians are willing to recommend mHealth apps to their patients. Key determinants influencing acceptance were identified, including the availability of robust knowledge about the apps, high-quality and reliable data, generational shifts within the medical profession, solid evidence supporting the effectiveness of the mHealth apps, and clearly defined areas of application and responsibilities within the physician-patient relationship. The study found that acceptance of mHealth apps could be significantly increased through targeted educational initiatives, enhanced data quality, and better integration of these tools into existing clinical workflows. Furthermore, younger physicians, more familiar with digital technologies, demonstrated greater openness to using mHealth apps, suggesting that generational changes may drive future increases in adoption.The successful integration of mHealth apps into hypertension management requires a multifaceted approach that addresses both the informational and practical concerns of physicians. By disseminating comprehensive knowledge about the variety, functionality, and proven efficacy of hypertension-related mHealth apps, health care providers can be better equipped to use these tools effectively. This approach necessitates the implementation of various knowledge transfer strategies, such as targeted training programs, peer learning opportunities, and active engagement with digital health technologies. As physicians become more informed and confident in the use of mHealth apps, their acceptance and recommendation of these tools are likely to increase, leading to more widespread adoption. Overcoming current barriers related to information deficits and data quality is essential for ensuring that mHealth apps are optimally used in routine hypertension care, ultimately improving patient outcomes and enhancing the overall quality of care. CONCLUSIONS The successful integration of mHealth apps into hypertension management requires a multifaceted approach that addresses both the informational and practical concerns of physicians. By disseminating comprehensive knowledge about the variety, functionality, and proven efficacy of hypertension-related mHealth apps, health care providers can be better equipped to use these tools effectively. This approach necessitates the implementation of various knowledge transfer strategies, such as targeted training programs, peer learning opportunities, and active engagement with digital health technologies. As physicians become more informed and confident in the use of mHealth apps, their acceptance and recommendation of these tools are likely to increase, leading to more widespread adoption. Overcoming current barriers related to information deficits and data quality is essential for ensuring that mHealth apps are optimally used in routine hypertension care, ultimately improving patient outcomes and enhancing the overall quality of care.German Clinical Trials Register DRKS00029761; https://drks.de/search/de/trial/DRKS00029761. TRIAL REGISTRATION German Clinical Trials Register DRKS00029761; https://drks.de/search/de/trial/DRKS00029761.RR2-10.3389/fcvm.2022.1089968. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID) RR2-10.3389/fcvm.2022.1089968.",Empty,JMIR mHealth and uHealth,CANADA,2025,Scholarly Journal,English,https://doi.org/10.2196/56666,"ProQuest One Applied & Life Sciences,SciTech Premium Collection,ProQuest One Health & Nursing"
What Affects Farmers' Intention To Learn About Sustainability In Online Settings? An Application Of The Extended Theory Of Planned Behaviour In Slovenia,"Novak, Ana; Alif, Živa; Juvančič, Luka; Šumrada, Tanja","ENG English ENG The study uses the extended Theory of planned behaviour (TPB) to explore farmers' participation in knowledge transfer activities and the potential of information and communication technology (ICT) based agricultural advisory services. Results based on Structural Equation Modeling (SEM) and survey data of 4742 farmers who attended agri-environmental, organic farming or animal welfare training in Slovenia show that perceived behaviour control and attitudes were the most important factors influencing their intention to participate in future training. Satisfaction with the training, which was affected by the training content, design, and quality of the lecturer, had a further positive effect on the intention. We found that farmers who attended online sessions were less satisfied with the training than those participating in-person. Finally, online training was more likely attended by farmers who found it challenging to attend in-person due to lack of transportation options or time, and who had sufficient ICT knowledge, equipment and internet connection. Online sessions were also more often attended by older, female and part-time farmers. Our results emphasise the crucial role of offering advisory services adapted to the farmers' needs and preferences, as their satisfaction influences their attendance in training programs, which are often voluntary. Furthermore, the training design and implementation should take into account the needs of different groups of farmers, as the ICT-based advisory services may still not be evenly accessible to all farmers.",Structural equation modelling (SEM); Theory of planned behaviour (TPB); Farmer training; ICT-based advisory services; Sustainability; article; article,Journal of Rural Studies,Empty,2025,Scholarly Journal,English,https://doi.org/10.1016/j.jrurstud.2024.103548,"ProQuest One Sustainability,SciTech Premium Collection"
Challenges For Plant Growth Promoting Microorganism Transfer From Science To Industry: A Case Study From Chile,"Muñoz-Carvajal, Eduardo1    ; Juan Pablo Araya-Angel1; Garrido-Sáez, Nicolás1    ; González, Máximo2; Stoll, Alexandra2    1 Laboratorio de Microbiología Aplicada, Centro de Estudios Avanzados en Zonas Áridas, La Serena 1720256, Chile; Departamento de Biología, Facultad de Ciencias, Universidad de La Serena, La Serena 1720256, Chile2 Laboratorio de Microbiología Aplicada, Centro de Estudios Avanzados en Zonas Áridas, La Serena 1720256, Chile; Instituto de Investigación Multidisciplinario en Ciencia y Tecnología, Universidad de La Serena, La Serena 1720256, Chile","Research on the plant growth promoting microorganisms (PGPM) is increasing strongly due to the biotechnological potential for the agricultural, forestry, and food industry. The benefits of using PGPM in crop production are well proven; however, their incorporation in agricultural management is still limited. Therefore, we wanted to explore the gaps and challenges for the transfer of biotechnological innovations based on PGPM to the agricultural sector. Our systematic review of the state of the art of PGPM research and knowledge transfer takes Chile as an example. Several transfer limiting aspects are identified and discussed. Our two main conclusions are: neither academia nor industry can meet unfounded expectations during technology transfer, but mutually clarifying their needs, capabilities, and limitations is the starting point for successful collaborations; the generation of a collaborative innovation environment, where academia as well as public and private stakeholders (including the local community) take part, is crucial to enhance the acceptance and integration of PGPM on the way to sustainable agriculture.",inter- and transdisciplinary research; Plant development; Technology transfer; Chile; Agriculture; Microorganism; collaborative innovation; geographic inequality; natural laboratory,Microorganisms; Basel,Switzerland,2023,Scholarly Journal,English,https://doi.org/10.3390/microorganisms11041061,"Publicly Available Content Database,ProQuest One Applied & Life Sciences,SciTech Premium Collection"
Comparing Conventional Physician-Led Education With Vr Education For Pacemaker Implantation: A Randomized Study,"Drozdova, Adela1    ; Polokova, Karin1; Jiravsky, Otakar2    ; Jiravska Godula, Bogna3; Chovancik, Jan1; Ranic, Ivan4; Jiravsky, Filip5; Hecko, Jan6    ; Sknouril, Libor1    1 Department of Cardiology, Agel Hospital Trinec-Podlesi, 739 61 Trinec, Czech Republic2 Department of Cardiology, Agel Hospital Trinec-Podlesi, 739 61 Trinec, Czech Republic; Faculty of Medicine, Masaryk University, 601 77 Brno, Czech Republic3 Department of Cardiology, Agel Hospital Trinec-Podlesi, 739 61 Trinec, Czech Republic; Faculty of Medicine, Palacky University, 779 00 Olomouc, Czech Republic4 Department of Cardiology, Agel Hospital Trinec-Podlesi, 739 61 Trinec, Czech Republic; Faculty of Medicine, University of Ostrava, 701 03 Ostrava, Czech Republic5 Department of Cardiology, Agel Hospital Trinec-Podlesi, 739 61 Trinec, Czech Republic; Philosophical Faculty, Masaryk University, 601 77 Brno, Czech Republic6 Department of Cardiology, Agel Hospital Trinec-Podlesi, 739 61 Trinec, Czech Republic; Faculty of Electrical Engineering and Computer Science, VSB-Technical University of Ostrava, 708 00 Ostrava, Czech Republic","Education of patients prior to an invasive procedure is pivotal for good cooperation and knowledge retention. Virtual reality (VR) is a fast-developing technology that helps educate both medical professionals and patients. INTRODUCTION Education of patients prior to an invasive procedure is pivotal for good cooperation and knowledge retention. Virtual reality (VR) is a fast-developing technology that helps educate both medical professionals and patients.To prove non-inferiority of VR education compared to conventional education in patients prior to the implantation of a permanent pacemaker (PPM). OBJECTIVE To prove non-inferiority of VR education compared to conventional education in patients prior to the implantation of a permanent pacemaker (PPM).150 participants scheduled for an elective implantation of a PPM were enrolled in this prospective study and randomized into two groups: the VR group ( n = 75) watched a 360° video about the procedure using the VR headset Oculus Meta Quest 2, while the conventional group ( n = 75) was educated by a physician. Both groups filled out a questionnaire to assess the quality of education pre- and in-hospital, their knowledge of the procedure, and their subjective satisfaction. METHODS 150 participants scheduled for an elective implantation of a PPM were enrolled in this prospective study and randomized into two groups: the VR group (n = 75) watched a 360° video about the procedure using the VR headset Oculus Meta Quest 2, while the conventional group (n = 75) was educated by a physician. Both groups filled out a questionnaire to assess the quality of education pre- and in-hospital, their knowledge of the procedure, and their subjective satisfaction.There was no significant difference in the quality of education. There was a non-significant trend towards higher educational scores in the VR group. The subgroup with worse scores was older than the groups with higher scores (82 vs. 76 years, p = 0.025). Anxiety was reduced in 92% of participants. RESULTS There was no significant difference in the quality of education. There was a non-significant trend towards higher educational scores in the VR group. The subgroup with worse scores was older than the groups with higher scores (82 vs. 76 years, p = 0.025). Anxiety was reduced in 92% of participants.VR proved to be non-inferior to conventional education. It helped to reduce anxiety and showed no adverse effects. CONCLUSION VR proved to be non-inferior to conventional education. It helped to reduce anxiety and showed no adverse effects.",Empty,"Healthcare (Basel, Switzerland)",SWITZERLAND,2024,Scholarly Journal,English,https://doi.org/10.3390/healthcare12100976,"ProQuest One Applied & Life Sciences,SciTech Premium Collection,ProQuest One Health & Nursing"
